DIST_NO,DIST_NAME,slug,month,n_1970_1995,n_1995_2020
1,Adelaide Metropolitan,adelaide_metropolitan,Jan,163,225
1,Adelaide Metropolitan,adelaide_metropolitan,Feb,192,209
1,Adelaide Metropolitan,adelaide_metropolitan,Mar,140,155
1,Adelaide Metropolitan,adelaide_metropolitan,Apr,78,83
1,Adelaide Metropolitan,adelaide_metropolitan,May,7,15
1,Adelaide Metropolitan,adelaide_metropolitan,Jun,0,0
1,Adelaide Metropolitan,adelaide_metropolitan,Jul,0,0
1,Adelaide Metropolitan,adelaide_metropolitan,Aug,1,2
1,Adelaide Metropolitan,adelaide_metropolitan,Sep,4,9
1,Adelaide Metropolitan,adelaide_metropolitan,Oct,34,55
1,Adelaide Metropolitan,adelaide_metropolitan,Nov,76,96
1,Adelaide Metropolitan,adelaide_metropolitan,Dec,136,147
1,Darwin and Adelaide River,darwin_and_adelaide_river,Jan,0,0
1,Darwin and Adelaide River,darwin_and_adelaide_river,Feb,0,0
1,Darwin and Adelaide River,darwin_and_adelaide_river,Mar,0,0
1,Darwin and Adelaide River,darwin_and_adelaide_river,Apr,4,3
1,Darwin and Adelaide River,darwin_and_adelaide_river,May,42,33
1,Darwin and Adelaide River,darwin_and_adelaide_river,Jun,102,74
1,Darwin and Adelaide River,darwin_and_adelaide_river,Jul,196,152
1,Darwin and Adelaide River,darwin_and_adelaide_river,Aug,277,292
1,Darwin and Adelaide River,darwin_and_adelaide_river,Sep,228,198
1,Darwin and Adelaide River,darwin_and_adelaide_river,Oct,117,101
1,Darwin and Adelaide River,darwin_and_adelaide_river,Nov,7,1
1,Darwin and Adelaide River,darwin_and_adelaide_river,Dec,0,0
1,Far North Coast,far_north_coast,Jan,63,70
1,Far North Coast,far_north_coast,Feb,20,35
1,Far North Coast,far_north_coast,Mar,16,18
1,Far North Coast,far_north_coast,Apr,30,8
1,Far North Coast,far_north_coast,May,8,11
1,Far North Coast,far_north_coast,Jun,1,5
1,Far North Coast,far_north_coast,Jul,6,21
1,Far North Coast,far_north_coast,Aug,62,88
1,Far North Coast,far_north_coast,Sep,197,186
1,Far North Coast,far_north_coast,Oct,210,209
1,Far North Coast,far_north_coast,Nov,172,147
